№;Sub;Desc;Iden;Quant;E;D_n;U_n;V;V1;V2;V3;V4
1;Рибофлавин;Жёлтый или оранжево-жёлтый кристаллический порошок.;Качественная реакция. Растворяют 1 мг субстанции в 100 мл воды. В проходящем свете раствор должен иметь бледно-зеленовато-жёлтый цвет, в отражённом свете - интенсивную желтовато-зелёную флуоресценцию, которая должна исчезать при добавлении минеральных кислот или щелочей.;"Определение проводят методом спектрофотометрии (ОФС ?Спектрофотометрия в ультрафиолетовой и видимой областях?).

Все растворы защищают от света.
Раствор натрия ацетата. В мерную колбу вместимостью 100 мл помещают 1,4 г натрия ацетата тригидрата, растворяют воде и доводят объём раствора водой до метки.
Испытуемый раствор. В мерную колбу из тёмного стекла вместимостью 500 мл помещают 65 мг (точная навеска) субстанции, суспендируют с 5 мл воды до полного смачивания, прибавляют 5 мл натрия гидроксида раствора 8,5 %, перемешивают до полного растворения, тотчас прибавляют 100 мл воды, 2,5 мл уксусной кислоты ледяной и доводят объём раствора водой до метки. В мерную колбу из тёмного стекла вместимостью 200 мл помещают 20,0 мл полученного раствора, прибавляют 3,5 мл раствора натрия ацетата и доводят объём раствора водой до метки.
Измеряют оптическую плотность испытуемого раствора на спектрофотометре в максимуме поглощения при длине волны 444 нм в кювете с толщиной слоя 1 см, используя в качестве раствора сравнения воду.";328;97;103;500;20;200;1;1
2;Гидрокортизон;Белый или почти белый кристаллический порошок.;"Качественная реакция. К 2 мг субстанции прибавляют 2 мл серной кислоты концентрированной и встряхивают до растворения; в течение 5 мин должно появиться интенсивное коричнево-красное окрашивание с зелёной флуоресценцией, более интенсивной при просмотре в УФ-свете при длине волны 365 нм. Полученный раствор прибавляют к 10 мл воды и перемешивают; окраска должна измениться на более тусклую, прозрачность раствора и зелёная флуоресценция в УФ-свете сохраняются.";"Определение проводят методом спектрофотометрии (ОФС ?Спектрофотометрия в ультрафиолетовой и видимой областях?).
Испытуемый раствор. В мерную колбу вместимостью 100 мл помещают 0,1 г (точная навеска) субстанции, растворяют в спирте 96 % и доводят объём раствора тем же растворителем до метки. В мерную колбу вместимостью 100 мл помещают 2,0 мл полученного раствора и доводят объём раствора спиртом 96 % до метки.
Измеряют оптическую плотность полученного раствора на спектрофотометре в максимуме поглощения при длине волны 241,5 нм в кювете с толщиной слоя 1 см. В качестве раствора сравнения используют спирт 96 %.";440;97;103;100;2;100;1;1
3;Дексаметазон;Белый или почти белый кристаллический порошок.;Качественная реакция. Около 2 мг субстанции помещают в колбу с 2 мл серной кислоты концентрированной и взбалтывают до растворения. В течение 5 мин должно образоваться бледное красновато-коричневое окрашивание. К полученному раствору прибавляют 10 мл воды и перемешивают. Окрашивание должно исчезнуть.;"Определение проводят методом спектрофотометрии (ОФС ?Спектрофотометрия в ультрафиолетовой и видимой областях?).
Испытуемый раствор. В мерную колбу вместимостью 100 мл помещают 0,1 г (точная навеска) субстанции, растворяют в спирте 96 % и доводят объём раствора тем же растворителем до метки. В мерную колбу вместимостью 100 мл помещают 2,0 мл полученного раствора и доводят спиртом 96 % до метки.
Измеряют оптическую плотность испытуемого раствора на спектрофотометре в максимуме поглощения при длине волны 238,5 нм в кювете с толщиной слоя 1 см, используя в качестве раствора сравнения спирт 96 %.";394;97;103;100;2;100;1;1
4;Нитрофурантоин;Жёлтый кристаллический порошок или жёлтые кристаллы.;"Качественная реакция. Растворяют 10 мг субстанции в 10 мл диметилформамида. К 1 мл полученного раствора прибавляют 0,1 мл калия гидроксида раствора спиртового 0,5 М; должно появиться коричневое окрашивание.";"Определение проводят методом спектрофотометрии (ОФС ?Спектрофотометрия в ультрафиолетовой и видимой областях?).
Испытание проводят в защищённом от яркого света месте.
Растворитель. В мерную колбу вместимостью 1000 мл помещают 18 г натрия ацетата, прибавляют 1,4 мл уксусной кислоты ледяной, растворяют в воде и доводят объём раствора водой до метки.
Испытуемый раствор. В мерную колбу вместимостью 1000 мл помещают 0,12 г (точная навеска) субстанции, растворяют в 50 мл диметилформамида и доводят объём раствора водой до метки. В мерную колбу вместимостью 100 мл помещают 5,0 мл полученного раствора и доводят объём раствора растворителем до метки.
Измеряют оптическую плотность испытуемого раствора на спектрофотометре в максимуме поглощения при длине волны 367 нм в кювете с толщиной слоя 1 см, используя в качестве раствора сравнения растворитель.";765;98;102;1000;5;100;1;1
5;Хлорамфеникол натрия сукцинат;Белый или желтовато-белый порошок.;"Качественная реакция. Нагревают на водяной бане 0,1 г субстанции с 5 мл натрия гидроксида раствора 20 %; должно появиться жёлтое окрашивание, переходящее в красно-оранжевое. При дальнейшем нагревании окраска усиливается, выпадает кирпично-красный осадок и выделяется аммиак, обнаруживаемый по запаху и по посинению влажной лакмусовой бумаги.";"Определение проводят методом спектрофотометрии (ОФС ?Спектрофотометрия в ультрафиолетовой и видимой областях?).
Испытуемый раствор. В мерную колбу вместимостью 250 мл помещают 50 мг (точная навеска) субстанции, растворяют в воде и доводят объём раствора тем же растворителем до метки. В мерную колбу вместимостью 100 мл помещают 10,0 мл полученного раствора и доводят объём раствора водой до метки.
Измеряют оптическую плотность испытуемого раствора на спектрофотометре в максимуме поглощения при длине волны 276 нм в кювете с толщиной слоя 1 см, используя в качестве раствора сравнения воду.";220;98;102;250;10;100;1;1
6;Рифампицин;Красно-коричневый или коричнево-красный кристаллический порошок.;Спектрофотометрия (ОФС ?Спектрофотометрия в ультрафиолетовой и видимой областях?). Cпектр поглощения раствора субстанции, приготовленного для количественного определения, в области длин волн от 220 до 500 нм должен иметь максимумы при 237, 254, 334 и 475 нм. Отношение оптической плотности при 334 нм к оптической плотности при 475 нм должно быть около 1,75.;"Определение проводят методом спектрофотометрии (ОФС ?Спектрофотометрия в ультрафиолетовой и видимой областях?).
Испытуемый раствор. В мерную колбу вместимостью 100 мл помещают 0,1 г (точная навеска) субстанции, растворяют в метаноле и доводят объём раствора метанолом до метки. В мерную колбу вместимостью 50 мл помещают 1,0 мл полученного раствора, прибавляют фосфатный буферный раствор рН 7,4 и доводят объём раствора фосфатным буферным раствором рН 7,4 до метки.
Измеряют оптическую плотность испытуемого раствора на спектрофотометре при длине волны 475 нм в кювете с толщиной слоя 1 см. В качестве раствора сравнения используют фосфатный буферный раствор рН 7,4.";187;97;102;100;1;50;1;1
7;Триамцинолон;Белый или почти белый кристаллический порошок.;Качественная реакция. Около 2 мг субстанции помещают в колбу с 2 мл серной кислоты концентрированной и взбалтывают до растворения. В течение 5 мин должно образоваться бледное красновато-коричневое окрашивание. ;"Определение проводят методом спектрофотометрии (ОФС ?Спектрофотометрия в ультрафиолетовой и видимой областях?). Все растворы готовят непосредственно перед использованием и защищают от действия света.
Испытуемый раствор. В мерную колбу вместимостью 50 мл помещают 50 мг (точная навеска) субстанции, растворяют в спирте 96 % и доводят объём раствора тем же растворителем до метки. В мерную колбу вместимостью 100 мл помещают 2,0 мл полученного раствора и доводят объём раствора спиртом 96 % до метки.
Измеряют оптическую плотность испытуемого раствора на спектрофотометре в максимуме поглощения при длине волны 238 нм в кювете с толщиной слоя 1 см, используя в качестве раствора сравнения спирт 96 %.";389;97;103;50;2;100;1;1
8;Троксерутин;От жёлтого до желтовато-зелёного цвета кристаллический порошок.;Качественная реакция. Растворяют 10 мг субстанции в 5 мл спирта 96 %, прибавляют 1 г цинка и 2 мл хлористоводородной кислоты раствора 25 %. Раствор должен окраситься в красный цвет.;"Определение проводят методом спектрофотометрии (ОФС ?Спектрофотометрия в ультрафиолетовой и видимой областях?).
Испытуемый раствор. В мерную колбу вместимостью 100 мл помещают 0,2 г (точная навеска) субстанции, растворяют в воде и доводят объём раствора водой до метки. В мерную колбу вместимостью 100 мл помещают 10,0 мл полученного раствора и доводят объём раствора водой до метки. В мерную колбу вместимостью 100 мл помещают 10,0 мл полученного раствора и доводят объём раствора водой до метки.
Измеряют оптическую плотность испытуемого раствора на спектрофотометре при длине волны 350 нм в кювете с толщиной слоя 1 см, используя в качестве раствора сравнения воду.";250;95;105;100;10;100;10;100
9;Бетаметазон;Белый или почти белый кристаллический порошок.;Качественная реакция. К 2 мг субстанции прибавляют 2 мл серной кислоты концентрированной и перемешивают. В течение 5 мин должно появиться интенсивное красно-коричневое окрашивание. Раствор осторожно выливают при перемешивании в 10 мл воды. Окрашивание должно исчезнуть и должен остаться прозрачный раствор.;"Испытание проводят методом спектрофотометрии (ОФС ?Спектрофотометрия в ультрафиолетовой и видимой областях?).
Испытуемый раствор. В мерную колбу вместимостью 100 мл помещают 0,1 г (точная навеска) субстанции, растворяют в спирте 96 % и доводят объём раствора спиртом 96 % до метки. В мерную колбу вместимостью 100 мл помещают 2,0 мл полученного раствора и доводят объём раствора спиртом 96 % до метки.
Измеряют оптическую плотность испытуемого раствора на спектрофотометре в максимуме поглощения при длине волны 238,5 нм в кювете с толщиной слоя 1 см, используя в качестве раствора сравнения спирт 96 %.";395;97;103;100;2;100;1;1
10;Преднизолона натрия фосфат;Белый или слегка желтоватый кристаллический порошок.;"Качественная реакция. Прибавляют 2 мг субстанции к 2 мл серной кислоты концентрированной, встряхивают до растворения и оставляют на 5 мин; должно появиться красное окрашивание, при наблюдении в ультрафиолетовом свете при 365 нм должна быть видна красно-коричневая флуоресценция. К полученному раствору осторожно прибавляют 10 мл воды; окраска должна побледнеть или исчезнуть, при наблюдении в ультрафиолетовом свете при 365 нм должна быть видна жёлтая или зеленовато-жёлтая флуоресценция и должен образоваться серый хлопьевидный осадок или наблюдаться помутнение раствора.";"Определение проводят методом спектрофотометрии (ОФС ?Спектрофотометрия в ультрафиолетовой и видимой областях?).
Испытуемый раствор. В мерную колбу вместимостью 100 мл помещают 0,1 г (точная навеска) субстанции, растворяют в воде и доводят объём раствора водой до метки. В мерную колбу вместимостью 250 мл помещают 5,0 мл полученного раствора и доводят объём раствора водой до метки.
Измеряют оптическую плотность испытуемого раствора на спектрофотометре в максимуме поглощения при длине волны 247 нм в кювете с толщиной слоя 1 см, используя в качестве раствора сравнения воду.";312;96;103;100;5;250;1;1
